matrix_type,sigma,image_idx,image_name,iteration,relative_residual
sparse,0.07,0,kodak_kodim01,10,3.259892786871709e-09
sparse,0.12,0,kodak_kodim01,1,0.049328204302404206
sparse,0.12,0,kodak_kodim01,2,0.00859522257982133
sparse,0.12,0,kodak_kodim01,3,0.0014969492844793069
sparse,0.12,0,kodak_kodim01,4,0.00022838224804208463
sparse,0.12,0,kodak_kodim01,5,3.263091613550632e-05
sparse,0.12,0,kodak_kodim01,6,4.345596242298484e-06
sparse,0.12,0,kodak_kodim01,7,9.119469010680243e-07
sparse,0.12,0,kodak_kodim01,8,1.3485239999720285e-07
sparse,0.12,0,kodak_kodim01,9,1.899255423433712e-08
