matrix_type,solver,solver_family,sigma,repeat,image_idx,image_name,data_source,seed,status,solve_success,hit_iteration_cap,error_message,failed_blocks,psnr_db,mse,relative_error,relative_residual,condition_number,time_ms,gs_avg_iters,gs_hit_max_ratio,gmres_avg_iters,gmres_hit_max_ratio
dense,gauss_seidel,iterative,0.0,0,4,kodak_kodim05,benchmark,42,iter_limit,True,True,,0,99.0,3.678770228886102e-17,1.6160096088189776e-08,1.44976769448766e-08,2.5107067648455232,5610.7602,21.73828125,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,4,kodak_kodim05,benchmark,42,ok,True,False,,0,99.0,4.305833520742639e-18,5.539845564877897e-09,4.400268696982712e-09,2.5107067648455232,358.0468,0.0,0.0,15.99609375,0.0
dense,np_solve,baseline,0.0,0,4,kodak_kodim05,benchmark,42,ok,True,False,,0,99.0,3.747633343005468e-32,5.152730822485164e-16,4.682861416550224e-16,2.5107067648455232,7.0627,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,5,kodak_kodim06,benchmark,42,ok,True,False,,0,99.0,8.74745122053324e-32,5.136793250995507e-16,4.607952328254685e-16,2.5107067648455232,1246.5615,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,5,kodak_kodim06,benchmark,42,ok,True,False,,0,99.0,5.976156071155989e-32,4.2459216009327345e-16,3.842386862389886e-16,2.5107067648455232,264.6501,0.0,0.0,0.0,0.0
dense,gauss_seidel,iterative,0.0,0,5,kodak_kodim06,benchmark,42,iter_limit,True,True,,0,99.0,3.2038038540337877e-16,3.1084612372036014e-08,2.812742872267518e-08,2.5107067648455232,5496.6913,21.28125,0.0625,0.0,0.0
dense,gmres,hybrid,0.0,0,5,kodak_kodim06,benchmark,42,ok,True,False,,0,99.0,8.807260592974565e-18,5.160533821898327e-09,3.970777963547285e-09,2.5107067648455232,400.8731,0.0,0.0,16.0,0.0
dense,np_solve,baseline,0.0,0,5,kodak_kodim06,benchmark,42,ok,True,False,,0,99.0,9.193473707674972e-32,5.265832528448264e-16,4.712125122389812e-16,2.5107067648455232,9.1099,0.0,0.0,0.0,0.0
dense,gaussian,direct,0.0,0,6,kodak_kodim07,benchmark,42,ok,True,False,,0,99.0,5.310903451056301e-32,5.094224201559785e-16,4.581064440088341e-16,2.5107067648455232,1360.4272,0.0,0.0,0.0,0.0
dense,lu,factorization,0.0,0,6,kodak_kodim07,benchmark,42,ok,True,False,,0,99.0,3.651563189576668e-32,4.2238586339370077e-16,3.7921090235486107e-16,2.5107067648455232,249.7348,0.0,0.0,0.0,0.0
