matrix_type,sigma,repeat,image_idx,image_name,solver,baseline_solver,delta_psnr_db,delta_mse,delta_relative_error,delta_relative_residual,delta_time_ms
dense,0.0,0,9,kodak_kodim10,gaussian,np_solve,0.0,-1.59983265040345e-33,-6.212211160541549e-18,-5.992609641114287e-18,1260.0388
dense,0.0,0,9,kodak_kodim10,lu,np_solve,0.0,-2.152218253295705e-32,-9.249644070461123e-17,-8.33568796050142e-17,233.812
dense,0.0,0,9,kodak_kodim10,gauss_seidel,np_solve,0.0,2.1175290857836562e-16,2.923064709455222e-08,2.6448434437658144e-08,5023.9543
dense,0.0,0,9,kodak_kodim10,gmres,np_solve,0.0,7.290848452759935e-18,5.431300274613784e-09,4.145960837965889e-09,354.2524
dense,0.0,0,10,kodak_kodim11,gaussian,np_solve,0.0,-9.54189113256554e-34,-5.850610689569621e-18,-6.663058790397799e-18,1228.2979
dense,0.0,0,10,kodak_kodim11,lu,np_solve,0.0,-1.2850415775346753e-32,-8.727991915272801e-17,-8.189973364208029e-17,229.9382
dense,0.0,0,10,kodak_kodim11,gauss_seidel,np_solve,0.0,1.227413631462846e-16,2.7828026410098788e-08,2.5221882833719304e-08,5102.7474999999995
dense,0.0,0,10,kodak_kodim11,gmres,np_solve,0.0,5.145379425116173e-18,5.730002566982428e-09,4.4344740376793135e-09,344.2278
dense,0.0,0,11,kodak_kodim12,gaussian,np_solve,0.0,-4.880482392129904e-33,-1.0987301442511446e-17,-1.4536546560799823e-17,1224.4489
dense,0.0,0,11,kodak_kodim12,lu,np_solve,0.0,-3.819258777094177e-32,-9.415373982117818e-17,-8.778306982389016e-17,232.8147
dense,0.0,0,11,kodak_kodim12,gauss_seidel,np_solve,0.0,4.808320084012866e-16,3.334844379079678e-08,3.0261451012470274e-08,4963.3881
dense,0.0,0,11,kodak_kodim12,gmres,np_solve,0.0,1.2483669137343063e-17,5.39569952810296e-09,4.104528063937579e-09,341.214
dense,0.0,0,12,kodak_kodim13,gaussian,np_solve,0.0,-1.542062934881882e-33,-5.9561305043358445e-18,-1.4659223335449716e-17,1257.0793999999999
dense,0.0,0,12,kodak_kodim13,lu,np_solve,0.0,-1.8536798758193407e-32,-9.038486576081134e-17,-8.333050284173649e-17,232.26600000000002
dense,0.0,0,12,kodak_kodim13,gauss_seidel,np_solve,0.0,1.0801140201862404e-16,2.2299170347821078e-08,1.9943866018601462e-08,5070.3708
dense,0.0,0,12,kodak_kodim13,gmres,np_solve,0.0,6.517527036427916e-18,5.488129011102867e-09,4.297404477989158e-09,349.4691
dense,0.0,0,13,kodak_kodim14,gaussian,np_solve,0.0,-2.3852279406169157e-34,-1.4679203846563496e-18,-8.058004518035117e-18,1229.0297
dense,0.0,0,13,kodak_kodim14,lu,np_solve,0.0,-1.4606443066279134e-32,-9.06649845583093e-17,-8.262112306481168e-17,233.8445
dense,0.0,0,13,kodak_kodim14,gauss_seidel,np_solve,0.0,1.0868003642060873e-16,2.5088607078410298e-08,2.264608151006444e-08,5058.8054
dense,0.0,0,13,kodak_kodim14,gmres,np_solve,0.0,5.207156214501952e-18,5.496435928720828e-09,4.294751508068263e-09,351.4726
dense,0.0,0,14,kodak_kodim15,gaussian,np_solve,0.0,-1.4844728506552714e-33,-5.250781457330882e-18,-9.00248729357314e-18,1493.3829
dense,0.0,0,14,kodak_kodim15,lu,np_solve,0.0,-2.221237970872975e-32,-8.559241104043046e-17,-7.883837054466986e-17,255.15990000000002
dense,0.0,0,14,kodak_kodim15,gauss_seidel,np_solve,0.0,2.108140983843742e-16,2.741989381908974e-08,2.4806720742537085e-08,6007.173
dense,0.0,0,14,kodak_kodim15,gmres,np_solve,0.0,8.297087196114111e-18,5.44713159400499e-09,4.183409249436026e-09,372.7753
dense,0.0,0,15,kodak_kodim16,gaussian,np_solve,0.0,-1.0148461433008114e-33,-5.0905346689073395e-18,-9.336702334200836e-18,1314.213
dense,0.0,0,15,kodak_kodim16,lu,np_solve,0.0,-1.63415829583883e-32,-8.962005877925087e-17,-8.238441969591504e-17,246.6335
dense,0.0,0,15,kodak_kodim16,gauss_seidel,np_solve,0.0,2.1071819791239072e-16,3.293316160408732e-08,2.9770030807753043e-08,5644.2685
dense,0.0,0,15,kodak_kodim16,gmres,np_solve,0.0,5.669432282951684e-18,5.406187232417908e-09,4.129962976713922e-09,471.2943
dense,0.0,0,16,kodak_kodim17,gaussian,np_solve,0.0,2.4499152756384055e-34,1.8716677121342272e-18,-4.979466985775626e-18,1370.5030000000002
dense,0.0,0,16,kodak_kodim17,lu,np_solve,0.0,-9.6597574383386e-33,-7.916880172141922e-17,-7.810174354497486e-17,256.1698
dense,0.0,0,16,kodak_kodim17,gauss_seidel,np_solve,0.0,9.426366588137136e-17,2.694029252730164e-08,2.4256334718492044e-08,2596.9921999999997
dense,0.0,0,16,kodak_kodim17,gmres,np_solve,0.0,3.687460223823233e-18,5.328541440867517e-09,4.133312751874498e-09,376.0186
dense,0.0,0,17,kodak_kodim18,gaussian,np_solve,0.0,5.3718328591052306e-34,5.981925636155873e-18,3.935235903294637e-18,1367.1466
dense,0.0,0,17,kodak_kodim18,lu,np_solve,0.0,-7.589471277540617e-33,-8.217025173246616e-17,-6.860558889464095e-17,250.3776
dense,0.0,0,17,kodak_kodim18,gauss_seidel,np_solve,0.0,3.8865319229911046e-17,1.961855547880341e-08,1.75573928834101e-08,2742.1791999999996
dense,0.0,0,17,kodak_kodim18,gmres,np_solve,0.0,3.388026542636359e-18,5.827135179715918e-09,4.573699547026794e-09,413.5327
dense,0.0,0,18,kodak_kodim19,gaussian,np_solve,0.0,-9.443782024552098e-34,-3.859108946893263e-18,-5.470410298030066e-18,1393.3691000000001
dense,0.0,0,18,kodak_kodim19,lu,np_solve,0.0,-2.0768284480758806e-32,-9.296338611253622e-17,-8.199173252012232e-17,265.87739999999997
dense,0.0,0,18,kodak_kodim19,gauss_seidel,np_solve,0.0,2.1105276621798139e-16,2.9705760768912277e-08,2.692936988277276e-08,2529.7345
dense,0.0,0,18,kodak_kodim19,gmres,np_solve,0.0,7.406794189358259e-18,5.5649371123387e-09,4.311429363887773e-09,384.0224
dense,0.0,0,19,kodak_kodim20,gaussian,np_solve,0.0,-1.025182600844534e-32,-2.1977326395106726e-17,-1.6262707376608347e-17,1340.5707
dense,0.0,0,19,kodak_kodim20,lu,np_solve,0.0,-4.7497408241822367e-32,-9.978982227677467e-17,-8.772937367992185e-17,249.49829999999997
dense,0.0,0,19,kodak_kodim20,gauss_seidel,np_solve,0.0,6.642602683242857e-16,3.530898827428202e-08,3.201831693303022e-08,5494.7884
dense,0.0,0,19,kodak_kodim20,gmres,np_solve,0.0,1.5364308490979348e-17,5.385151697469974e-09,4.107522636162282e-09,376.7879
dense,0.0,0,20,kodak_kodim21,gaussian,np_solve,0.0,3.0471973265376462e-34,1.3436146651410472e-18,-1.20749864679109e-18,1345.2991000000002
dense,0.0,0,20,kodak_kodim21,lu,np_solve,0.0,-1.9811352536611442e-32,-9.126752025646544e-17,-8.264061910829228e-17,250.69910000000002
dense,0.0,0,20,kodak_kodim21,gauss_seidel,np_solve,0.0,2.4468705404231623e-16,3.2492086797675654e-08,2.952172240356191e-08,5461.3207
dense,0.0,0,20,kodak_kodim21,gmres,np_solve,0.0,6.78971501056831e-18,5.421356693430821e-09,4.185723265398877e-09,383.3796
dense,0.0,0,21,kodak_kodim22,gaussian,np_solve,0.0,-9.679762148886856e-34,-4.089175646279507e-18,-8.769297042660524e-18,1324.6254000000001
dense,0.0,0,21,kodak_kodim22,lu,np_solve,0.0,-1.8280050357602673e-32,-8.865587189888469e-17,-8.235396110010151e-17,255.561
dense,0.0,0,21,kodak_kodim22,gauss_seidel,np_solve,0.0,2.2753909903717974e-16,3.217565147826146e-08,2.9194386655957383e-08,5500.5251
dense,0.0,0,21,kodak_kodim22,gmres,np_solve,0.0,6.302071210650382e-18,5.36934096103678e-09,4.131605219874525e-09,388.0864
dense,0.0,0,22,kodak_kodim23,gaussian,np_solve,0.0,-1.9182954217375745e-33,-8.11047888939829e-18,-9.536154442602476e-18,1362.5406
dense,0.0,0,22,kodak_kodim23,lu,np_solve,0.0,-1.882202505371243e-32,-9.26712389469411e-17,-8.556813571112031e-17,248.98770000000002
dense,0.0,0,22,kodak_kodim23,gauss_seidel,np_solve,0.0,2.0686113247840406e-16,3.104743452889434e-08,2.8139105207805698e-08,5458.3211
dense,0.0,0,22,kodak_kodim23,gmres,np_solve,0.0,6.71120578303867e-18,5.606983525155314e-09,4.295034089497882e-09,394.6963
dense,0.0,0,23,kodak_kodim24,gaussian,np_solve,0.0,-1.2490802971837627e-34,-5.665113088589971e-18,-3.2735098670172907e-18,1323.1738
dense,0.0,0,23,kodak_kodim24,lu,np_solve,0.0,-1.6885835290240061e-32,-8.941379127822058e-17,-7.786773965023355e-17,245.33929999999998
dense,0.0,0,23,kodak_kodim24,gauss_seidel,np_solve,0.0,1.837950379857107e-16,3.02543056666005e-08,2.717090649292922e-08,2568.7641000000003
dense,0.0,0,23,kodak_kodim24,gmres,np_solve,0.0,6.147673469708291e-18,5.424545429434273e-09,4.207637899212668e-09,438.163
dense,0.0,1,0,kodak_kodim01,gaussian,np_solve,0.0,4.8748677962966196e-34,2.4986270359248557e-18,-3.0599616625769173e-18,1345.1681
dense,0.0,1,0,kodak_kodim01,lu,np_solve,0.0,-1.886748301785899e-32,-9.596847120008447e-17,-8.677687944288594e-17,250.6313
dense,0.0,1,0,kodak_kodim01,gauss_seidel,np_solve,0.0,1.0359703124738916e-16,2.232219741633297e-08,2.0197343206532555e-08,5530.3292
dense,0.0,1,0,kodak_kodim01,gmres,np_solve,0.0,6.200128269681736e-18,5.4848871707870666e-09,4.271114939605244e-09,383.1988
dense,0.0,1,1,kodak_kodim02,gaussian,np_solve,0.0,-1.507508822728984e-33,-1.4060208521097846e-17,-1.074782918088857e-17,1368.2045
dense,0.0,1,1,kodak_kodim02,lu,np_solve,0.0,-9.4130930778394e-33,-9.592509256299908e-17,-8.410311161609995e-17,246.5985
dense,0.0,1,1,kodak_kodim02,gauss_seidel,np_solve,0.0,1.0862306519921326e-16,3.2426934678920335e-08,2.9327547187626722e-08,5466.6629
dense,0.0,1,1,kodak_kodim02,gmres,np_solve,0.0,3.0357597268783086e-18,5.444086847136913e-09,4.181860364162193e-09,384.6959
dense,0.0,1,2,kodak_kodim03,gaussian,np_solve,0.0,-5.651621975037077e-34,-2.9990664935368625e-18,-6.3627146248118105e-18,1324.8038
dense,0.0,1,2,kodak_kodim03,lu,np_solve,0.0,-1.5820367901808916e-32,-9.280430762882484e-17,-8.756223062768423e-17,258.75609999999995
dense,0.0,1,2,kodak_kodim03,gauss_seidel,np_solve,0.0,1.733607190981455e-16,3.082438028734605e-08,2.7861168603913287e-08,5510.0586
dense,0.0,1,2,kodak_kodim03,gmres,np_solve,0.0,5.245362127488978e-18,5.375748066998068e-09,4.12848533674676e-09,375.38980000000004
dense,0.0,1,3,kodak_kodim04,gaussian,np_solve,0.0,-1.108975849807531e-33,-6.402243830788977e-18,-3.541524241139846e-18,1368.203
dense,0.0,1,3,kodak_kodim04,lu,np_solve,0.0,-1.3727136034671908e-32,-8.737232393978485e-17,-7.530748224072764e-17,247.1494
dense,0.0,1,3,kodak_kodim04,gauss_seidel,np_solve,0.0,1.4339202278999398e-16,2.9216237897750125e-08,2.6251005059799305e-08,5379.3283
