metric,solver,n_pairs,mean_delta_vs_np,sign_test_pvalue
psnr_db,gauss_seidel,720,-3.9294854441922985e-08,0.3815902163497514
psnr_db,gaussian,720,-2.565848768022584e-16,0.9521890787776294
psnr_db,gmres,720,1.9125185484685718e-09,0.06069876162664237
psnr_db,lu,720,-3.9474596431116675e-16,1.0
time_ms,gauss_seidel,720,2739.328447222222,3.6260443998244473e-217
time_ms,gaussian,720,1271.0469876388888,3.6260443998244473e-217
time_ms,gmres,720,359.1649395833333,3.6260443998244473e-217
time_ms,lu,720,240.5025890277778,3.6260443998244473e-217
