matrix_type,solver,sigma,condition_number,sigma_min_proxy,psnr_mean,failure_rate
dense,gauss_seidel,0.0,2.5107067648455232,0.3982942229661484,99.0,0.8333333333333334
dense,gauss_seidel,0.01,2.5107067648455232,0.3982942229661484,67.03733468846264,0.0
dense,gauss_seidel,0.03,2.5107067648455232,0.3982942229661484,57.49970981032128,0.0
dense,gauss_seidel,0.07,2.5107067648455232,0.3982942229661484,50.14246659204883,0.0
dense,gauss_seidel,0.12,2.5107067648455232,0.3982942229661484,45.459677434337124,0.0
dense,gaussian,0.0,2.5107067648455232,0.3982942229661484,99.0,0.0
dense,gaussian,0.01,2.5107067648455232,0.3982942229661484,67.0373349805397,0.0
dense,gaussian,0.03,2.5107067648455232,0.3982942229661484,57.49970993978094,0.0
dense,gaussian,0.07,2.5107067648455232,0.3982942229661484,50.14246658275146,0.0
dense,gaussian,0.12,2.5107067648455232,0.3982942229661484,45.45967746898838,0.0
dense,gmres,0.0,2.5107067648455232,0.3982942229661484,99.0,0.0
dense,gmres,0.01,2.5107067648455232,0.3982942229661484,67.0373349509921,0.0
dense,gmres,0.03,2.5107067648455232,0.3982942229661484,57.49970993685037,0.0
dense,gmres,0.07,2.5107067648455232,0.3982942229661484,50.142466586078854,0.0
dense,gmres,0.12,2.5107067648455232,0.3982942229661484,45.45967745667657,0.0
dense,lu,0.0,2.5107067648455232,0.3982942229661484,99.0,0.0
dense,lu,0.01,2.5107067648455232,0.3982942229661484,67.0373349805397,0.0
dense,lu,0.03,2.5107067648455232,0.3982942229661484,57.49970993978094,0.0
dense,lu,0.07,2.5107067648455232,0.3982942229661484,50.14246658275146,0.0
dense,lu,0.12,2.5107067648455232,0.3982942229661484,45.459677468988374,0.0
dense,np_solve,0.0,2.5107067648455232,0.3982942229661484,99.0,0.0
dense,np_solve,0.01,2.5107067648455232,0.3982942229661484,67.0373349805397,0.0
dense,np_solve,0.03,2.5107067648455232,0.3982942229661484,57.49970993978094,0.0
dense,np_solve,0.07,2.5107067648455232,0.3982942229661484,50.14246658275146,0.0
dense,np_solve,0.12,2.5107067648455232,0.3982942229661484,45.459677468988374,0.0
sparse,gauss_seidel,0.0,2.617939524485603,0.3819797938978324,99.0,0.8333333333333334
sparse,gauss_seidel,0.01,2.617939524485603,0.3819797938978324,59.54923657906161,0.0
sparse,gauss_seidel,0.03,2.617939524485603,0.3819797938978324,50.02527697579819,0.0
sparse,gauss_seidel,0.07,2.617939524485603,0.3819797938978324,42.66893214643173,0.0
sparse,gauss_seidel,0.12,2.617939524485603,0.3819797938978324,37.99875063924406,0.0
sparse,gaussian,0.0,2.617939524485603,0.3819797938978324,99.0,0.0
sparse,gaussian,0.01,2.617939524485603,0.3819797938978324,59.54923649334403,0.0
sparse,gaussian,0.03,2.617939524485603,0.3819797938978324,50.02527698787992,0.0
sparse,gaussian,0.07,2.617939524485603,0.3819797938978324,42.66893215727527,0.0
sparse,gaussian,0.12,2.617939524485603,0.3819797938978324,37.99875064809429,0.0
sparse,gmres,0.0,2.617939524485603,0.3819797938978324,99.0,0.0
sparse,gmres,0.01,2.617939524485603,0.3819797938978324,59.549236486745876,0.0
sparse,gmres,0.03,2.617939524485603,0.3819797938978324,50.025277019769625,0.0
sparse,gmres,0.07,2.617939524485603,0.3819797938978324,42.66893217196613,0.0
sparse,gmres,0.12,2.617939524485603,0.3819797938978324,37.99875066869965,0.0
sparse,lu,0.0,2.617939524485603,0.3819797938978324,99.0,0.0
sparse,lu,0.01,2.617939524485603,0.3819797938978324,59.54923649334403,0.0
sparse,lu,0.03,2.617939524485603,0.3819797938978324,50.02527698787992,0.0
sparse,lu,0.07,2.617939524485603,0.3819797938978324,42.66893215727527,0.0
sparse,lu,0.12,2.617939524485603,0.3819797938978324,37.99875064809429,0.0
sparse,np_solve,0.0,2.617939524485603,0.3819797938978324,99.0,0.0
sparse,np_solve,0.01,2.617939524485603,0.3819797938978324,59.54923649334403,0.0
sparse,np_solve,0.03,2.617939524485603,0.3819797938978324,50.02527698787992,0.0
sparse,np_solve,0.07,2.617939524485603,0.3819797938978324,42.66893215727527,0.0
sparse,np_solve,0.12,2.617939524485603,0.3819797938978324,37.99875064809429,0.0
