metric,solver,n_pairs,mean_delta_vs_np,ci95_low,ci95_high
psnr_db,gauss_seidel,720,-3.9294854441922985e-08,-9.787496504129775e-08,1.5996135882545558e-08
psnr_db,gaussian,720,-2.565848768022584e-16,-1.282924384011292e-15,7.401486830834377e-16
psnr_db,gmres,720,1.9125185484685718e-09,-1.1337588379234375e-08,1.564203031792191e-08
psnr_db,lu,720,-3.9474596431116675e-16,-1.6085898045680046e-15,8.289665250534502e-16
time_ms,gauss_seidel,720,2739.328447222222,2681.3772116666664,2801.401671388889
time_ms,gaussian,720,1271.0469876388888,1267.94370875,1274.27702875
time_ms,gmres,720,359.1649395833333,358.12373583333334,360.25659472222225
time_ms,lu,720,240.5025890277778,239.80827777777776,241.23231097222222
